"","Name","p_value","p_adj","time0","time12"
"166","158337416-stool1_revised_C1277310_1_gene204326 strand:-  start:1600 stop:2463 length:864 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"167","158337416-stool1_revised_C1280828_1_gene135644 strand:-  start:2376 stop:3374 length:999 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"168","158337416-stool1_revised_C1283926_1_gene169275 strand:+  start:1 stop:2151 length:2151 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"169","158337416-stool1_revised_C1287478_1_gene78855 strand:-  start:9692 stop:13222 length:3531 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"170","158337416-stool1_revised_scaffold25092_1_gene112006 strand:-  start:60455 stop:61075 length:621 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"171","158337416-stool1_revised_scaffold2713_3_gene111207 strand:+  start:68109 stop:74087 length:5979 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"172","158337416-stool1_revised_scaffold28771_1_gene170182 strand:+  start:152 stop:2779 length:2628 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"173","158337416-stool1_revised_scaffold29244_1_gene31448 strand:-  start:5459 stop:7318 length:1860 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.183430618982178,1,0,3.00217102042695e-05
"174","158337416-stool1_revised_scaffold29850_1_gene59045 strand:+  start:1437 stop:6212 length:4776 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"175","158337416-stool1_revised_scaffold30212_1_gene176916 strand:+  start:20 stop:5356 length:5337 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"176","158337416-stool1_revised_scaffold589_1_gene169578 strand:+  start:85662 stop:86321 length:660 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11",1,1,0,0
"177","158337416-stool1_revised_scaffold6199_1_gene100267 strand:+  start:3 stop:335 length:333 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.674986713970489,1,0,1.34071708555927e-05
"178","158337416-stool2_revised_C1000126_1_gene96395 strand:+  start:3 stop:1115 length:1113 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"179","158337416-stool2_revised_C1002684_1_gene8957 strand:+  start:3 stop:1184 length:1182 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"180","158337416-stool2_revised_C1031400_1_gene85456 strand:+  start:98 stop:2914 length:2817 start_codon:yes stop_codon:no gene_type:incomplete [Lack 3'-end] codon-table.11",1,1,0,0
"181","158337416-stool2_revised_C1044594_1_gene29435 strand:+  start:3 stop:3260 length:3258 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.583882420770365,1,0,0
"182","158337416-stool2_revised_C1045768_1_gene102471 strand:+  start:1 stop:2532 length:2532 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"183","158337416-stool2_revised_C956877_1_gene135390 strand:+  start:3 stop:653 length:651 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"184","158337416-stool2_revised_C968591_1_gene114129 strand:+  start:3 stop:785 length:783 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11",0.371093369522698,1,0,0
"185","158337416-stool2_revised_C975839_1_gene85458 strand:-  start:322 stop:849 length:528 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"186","158337416-stool2_revised_C994057_1_gene153902 strand:-  start:583 stop:1089 length:507 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
"187","158337416-stool2_revised_scaffold13277_1_gene37809 strand:-  start:3 stop:1277 length:1275 start_codon:no stop_codon:no gene_type:incomplete [Lack both ends] codon-table.11",1,1,0,0
"188","158337416-stool2_revised_scaffold16676_1_gene161551 strand:+  start:3 stop:3137 length:3135 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",0.674986713970489,1,0,3.4345963799162e-05
"189","158458797-stool1_revised_C1251010_1_gene116836 strand:+  start:1 stop:630 length:630 start_codon:no stop_codon:yes gene_type:incomplete [Lack 5'-end] codon-table.11",1,1,0,0
