"","Name","p_value","p_adj","time0","time12"
"57","KE",0.203125,0.708506944444445,0.000601852091027879,0.000891017791871466
"58","KG",0.589638551626567,0.898031655844156,0,0
"59","KJ",0.07421875,0.708506944444445,0.000488975163856722,0.00023913008508725
"60","KL",0.280712665268496,0.708506944444445,0,0
"61","KR",1,1,0,0
"62","KT",0.65234375,0.898031655844156,0.000143351151325886,0.000169748512116346
"63","KTN",0.583882420770365,0.898031655844156,0,0
"64","KV",0.42578125,0.820596590909091,0.000116621738890343,0.000113255430809538
"65","L",0.25,0.708506944444445,0.00445483690948007,0.00393230374715629
"66","LX",0.589638551626567,0.898031655844156,0,0
"67","M",0.0390625,0.626017228359689,0.0340952309248747,0.0258837238552216
"68","MI",0.0590582290905367,0.626017228359689,0,5.65315589756642e-06
"69","MO",0.65234375,0.898031655844156,9.73797827459932e-05,3.6767434377486e-05
"70","MR",0.09765625,0.708506944444445,0.00173245317126547,0.0010634274652974
"71","MU",0.554113130069446,0.898031655844156,8.1191921259988e-05,1.43068732951697e-05
"72","MV",0.8203125,0.966145833333333,0.000535227873608595,0.000400700639958576
"73","N",0.09765625,0.708506944444445,0.000621488250780941,0.00177311364055044
"74","NU",0.589638551626567,0.898031655844156,0,1.67142323034986e-05
"75","NUW",0.208412803684149,0.708506944444445,0,2.89752227001991e-05
"76","NW",1,1,0.00105465756435538,0.000981112576209214
"77","O",0.01953125,0.442286745454629,0.076894905060097,0.0601419401918294
"78","OE",0.65234375,0.898031655844156,4.46427212311817e-05,0.000155143905316785
"79","OK",0.371093369522698,0.771292101360901,0,0
"80","OT",1,1,0,0
"81","P",0.734375,0.937876506024096,0.0198227871608519,0.0206449828640562
"82","PH",0.18144920772142,0.708506944444445,0,0
"83","PO",0.371093369522698,0.771292101360901,0,0
"84","PR",0.5703125,0.898031655844156,8.16309635450233e-05,0.00014864890699248
"85","PT",0.293621543928906,0.708506944444445,1.82588747635498e-05,4.74905478567291e-05
"86","PV",0.00390625,0.138020833333333,0.00158387249552758,0.000303025065447824
"87","Q",0.30078125,0.708506944444445,0.00444978577020835,0.00281937868226512
"88","QC",0.00390625,0.138020833333333,0.00231397276322617,0.00395304808454886
"89","QR",1,1,0,0
"90","QT",0.734375,0.937876506024096,0.000199020852966106,0.000169748049454726
"91","R",0.203125,0.708506944444445,0.0256120789663479,0.0320724270769737
"92","S",0.5703125,0.898031655844156,0.0091889667064774,0.00737714084319448
"93","T",0.91015625,1,0.00635485244816921,0.0065565354368641
"94","TE",0.799846105662473,0.966145833333333,1.52237224636836e-05,9.49889402185699e-06
"95","TG",0.1640625,0.708506944444445,0.000947298333242458,0.00117283390412351
"96","TK",0.30078125,0.708506944444445,0.000656596400554392,0.000437961013047948
"97","TR",1,1,0,0
"98","U",0.359375,0.771292101360901,0.00236654970011985,0.00216686849429557
"99","UW",0.12890625,0.708506944444445,0.000370848212157303,0.000155771361060261
"100","UXR",1,1,0,0
"101","V",0.91015625,1,0.00399694522371283,0.00401950218654853
"102","VI",1,1,0,0
"103","VT",0.371093369522698,0.771292101360901,0,0
"104","X",0.0546875,0.626017228359689,0.00011796786130446,0.000549426353473036
"105","Z",0.105645429201877,0.708506944444445,0,0
"106",NA,0.65234375,0.898031655844156,0.0146475829723886,0.0193801707187067
