taxon,lfc_(Intercept),lfc_AST,lfc_Age,lfc_Sexmale,se_(Intercept),se_AST,se_Age,se_Sexmale,W_(Intercept),W_AST,W_Age,W_Sexmale,p_(Intercept),p_AST,p_Age,p_Sexmale,q_(Intercept),q_AST,q_Age,q_Sexmale,diff_(Intercept),diff_AST,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_AST,passed_ss_Age,passed_ss_Sexmale
Ruminococcus_torques,-1.320082182610757,0.02258740722484824,0.04941096105467828,-1.7956114086001929,0.7520447953891497,0.014848173472447695,0.010656425250884394,0.4071866085300617,-1.7553238725994682,1.5212246318889988,4.636729474602901,-4.409799760071497,0.09620795381980059,0.14557631781653335,2.0501696064633985e-4,3.3805748091123337e-4,0.23949828958106953,0.2886852404158373,0.007995661465207254,0.00791054505332286,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Hungatella_hathewayi,-1.1798332106707854,-0.01712642208128546,0.034997130741198076,0.680985169537005,0.5335688723155889,0.010933965000122012,0.007771002312141609,0.25511596206503434,-2.211210720652669,-1.5663505490546519,4.5035542823758625,2.6693161965436243,0.0915026937938998,0.19232837207443979,0.01079314229059683,0.05584572477884931,0.23381416320213702,0.35436881153873157,0.06646303410525417,0.1502682093130029,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Flavonifractor_plautii,-2.7405904594251305,-0.02857221641050252,0.08967970356804746,2.2450667722367785,0.5702170278059722,0.011657715462261856,0.006899950707730053,0.2599570815632373,-4.80622346542354,-2.4509275855115846,12.997151337266626,8.636297802453372,0.008608979841492196,0.07037496834323786,2.0221371666422235e-4,9.885218520272038e-4,0.058354891079366006,0.16913280158404104,0.007995661465207254,0.014457132085897856,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Faecalimonas_umbilicata,-2.0023451595893738,0.033288511588536636,-0.002502480830456955,0.6469983853357796,0.7579241529900574,0.020201884667662883,0.010613998542817173,0.3839164018346938,-2.641880657437817,1.6477923785903743,-0.23577173299599355,1.6852585152492736,0.02032318533536633,0.12334000705328153,0.8172834951991839,0.11577778203857297,0.09681225913107949,0.2531715934251568,1,0.25442530533717983,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Blautia_hansenii,-1.0623890301366883,0.004032011632125841,0.017847655009504092,0.3481139625734211,0.8373821355773188,0.01283859704997916,0.0148856991276692,0.5035129291644689,-1.268702764245433,0.31405391231064345,1.1989799643558074,0.6913704542822418,0.225236704805199,0.7581110322337162,0.2504366186923699,0.5006374749141758,0.4355454269222933,1,0.47644039653670367,0.7558010911607557,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Enterocloster_aldenensis,-3.15416630646688,0.05766638104603698,0.035088969784878306,0.8018250559120244,0.5803190846868252,0.010758059288286962,0.007814136625825998,0.26081840229986036,-5.435227600982753,5.360295895452289,4.490447437136948,3.0742656531964103,0.012225658491805288,0.012705761773783849,0.020607759818316015,0.05437994501374223,0.07152010217706092,0.046585362625529605,0.10032835546554078,0.1502682093130029,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Oliverpabstia_intestinalis,-1.330499250524652,0.03836354778927801,-0.02149239729297918,0.4823626952065604,0.5621590894595225,0.01124446876677364,0.009462643267623553,0.3024167196987811,-2.3667664109173008,3.411770585609053,-2.271288971287277,1.595026543793652,0.049842701840322,0.01126067525382561,0.05736835325031409,0.15473615790374348,0.15237332244481355,0.04506361286083049,0.18461024618812202,0.30863211135648044,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Sellimonas_intestinalis,-0.1606063651223961,-0.014625439508671902,0.007091258457045462,-0.08238088166866012,0.6429553801510575,0.012335015085472573,0.010452989237275842,0.38065286508338436,-0.24979395161863777,-1.1856847687115397,0.6783952701068233,-0.21641997007066813,0.8078031585987088,0.2631559547823817,0.5129132416198259,0.8330114700520082,1,0.45278303984615675,0.8067797323220124,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Schaalia_odontolytica,-0.35186330728289267,-0.06163057961904734,0.05190306173561931,0.7714682454959197,0.53249506254553,0.010862186580726924,0.006763775164288101,0.2195364570668841,-0.6607822908269825,-5.67386494063729,7.673682296487482,3.5140780524707282,0.5559631442782909,0.010846289039339084,0.004597543089121465,0.03908311946500271,0.8502965736020919,0.04452687079307625,0.038965767282959696,0.12880915429310752,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
Blautia_producta,-0.4059890774573166,-0.0069018752005026015,0.006251969887598922,-0.4843470118720192,0.7900219742482045,0.018484337248664145,0.012400998666658142,0.3674354747826276,-0.5138959303551793,-0.37339046067239423,0.5041505168779864,-1.3181824976441254,0.6184882634285229,0.7166515822811781,0.6250769308886719,0.21683741583271415,0.9277323951427844,0.9922868062354774,0.9141750114246826,0.3843936007943569,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
