"Taxon","Species","Time","ClinVar","lfc","q","diff","sign"
"Lactobacillus_gasseri","Lactobacillus_gasseri","T12","AST",0.201358181099992,0.0202533659547524,TRUE,"+"
"Zhenpiania_hominis","Zhenpiania_hominis","T12","AST",-0.201174953217243,0.00107782105346117,TRUE,"-"
"Alistipes_finegoldii","Alistipes_finegoldii","T12","AST",-0.193364701524485,0.00450746734450729,TRUE,"-"
"Bilophila_wadsworthia","Bilophila_wadsworthia","T12","AST",-0.177723174685206,0.00107782105346117,TRUE,"-"
"Parabacteroides_distasonis","Parabacteroides_distasonis","T12","AST",-0.147432903210256,4.61334053610912e-05,TRUE,"-"
"Bittarella_massiliensis","Bittarella_massiliensis","T12","AST",0.141993183679088,0.0280967083130922,TRUE,"+"
"Clostridium_sp_1001270J_160509_D11","Clostridium_sp_1001270J_160509_D11","T12","AST",-0.139616332855254,0.00116071903180331,TRUE,"-"
"Granulicatella_SGB8255","Granulicatella_SGB8255","T12","AST",-0.131465799250397,0.000206062231913772,TRUE,"-"
"Akkermansia_muciniphila","Akkermansia_muciniphila","T12","AST",-0.127324554339718,0.000997158051277354,TRUE,"-"
"Roseburia_intestinalis","Roseburia_intestinalis","T12","AST",0.126708517828262,0.000206062231913772,TRUE,"+"
"Clostridium_leptum","Clostridium_leptum","T12","AST",-0.126691891008453,0.0108166079363833,TRUE,"-"
"Roseburia_sp_AF02_12","Roseburia_sp_AF02_12","T12","AST",-0.122499716249726,0.0346054418096232,TRUE,"-"
"Ruminococcus_bromii","Ruminococcus_bromii","T12","AST",0.113925791916584,0.00327633759711273,TRUE,"+"
"Clostridium_sp_AT4","Clostridium_sp_AT4","T12","AST",-0.106431164678245,0.00605736058956304,TRUE,"-"
"Schaalia_SGB17157","Schaalia_SGB17157","T12","AST",0.10139939080258,0.00296684770733241,TRUE,"+"
"Eubacterium_ventriosum","Eubacterium_ventriosum","T0","GGT",1.009764046156,0.000792897657146419,TRUE,"+"
"Anaerotruncus_colihominis","Anaerotruncus_colihominis","T0","GGT",0.794454826244924,1.81837927731712e-06,TRUE,"+"
"GGB9715_SGB15265","GGB9715_SGB15265","T0","GGT",-0.777025336558162,4.51438167551137e-11,TRUE,"-"
"Bifidobacterium_breve","Bifidobacterium_breve","T0","GGT",0.668247650186003,3.76432593694957e-06,TRUE,"+"
"Bifidobacterium_animalis","Bifidobacterium_animalis","T0","GGT",0.630324746278886,3.19856534102275e-14,TRUE,"+"
"Limosilactobacillus_reuteri","Limosilactobacillus_reuteri","T0","GGT",0.464410442372241,0.00162537163988644,TRUE,"+"
"Bifidobacterium_pseudocatenulatum","Bifidobacterium_pseudocatenulatum","T0","GGT",0.385865081281614,3.35113429687235e-09,TRUE,"+"
"Bittarella_massiliensis","Bittarella_massiliensis","T0","GGT",0.367945423647763,7.34553539081674e-06,TRUE,"+"
"Massilimicrobiota_timonensis","Massilimicrobiota_timonensis","T0","GGT",0.36637234438557,0.00219336554007893,TRUE,"+"
"Clostridium_SGB6179","Clostridium_SGB6179","T0","GGT",-0.36467056024785,0.00198048600396513,TRUE,"-"
"Intestinimonas_massiliensis","Intestinimonas_massiliensis","T0","GGT",0.330523606695153,0.00218799915590172,TRUE,"+"
"Pseudoflavonifractor_phocaeensis","Pseudoflavonifractor_phocaeensis","T0","GGT",0.310839456103637,0.00227102286566546,TRUE,"+"
"Enterocloster_citroniae","Enterocloster_citroniae","T0","GGT",0.28897983457536,1.82763939714777e-09,TRUE,"+"
"Actinomyces_massiliensis","Actinomyces_massiliensis","T0","GGT",0.287622578880208,1.27351523614969e-05,TRUE,"+"
"Lacrimispora_amygdalina","Lacrimispora_amygdalina","T0","GGT",-0.281447662197203,1.22868991790621e-05,TRUE,"-"
"Alistipes_putredinis","Alistipes_putredinis","T0","GGT",0.268490490272322,0.00258907715387849,TRUE,"+"
"Blautia_hydrogenotrophica","Blautia_hydrogenotrophica","T0","GGT",-0.266847041155232,0.00258855063895956,TRUE,"-"
"Hydrogeniiclostridium_mannosilyticum","Hydrogeniiclostridium_mannosilyticum","T0","GGT",-0.26580614325799,1.87044792813707e-07,TRUE,"-"
"Alistipes_dispar","Alistipes_dispar","T0","GGT",-0.252367599289743,2.48647254566037e-05,TRUE,"-"
