taxon,lfc_(Intercept),lfc_ppFEV1,lfc_Age,lfc_Sexmale,se_(Intercept),se_ppFEV1,se_Age,se_Sexmale,W_(Intercept),W_ppFEV1,W_Age,W_Sexmale,p_(Intercept),p_ppFEV1,p_Age,p_Sexmale,q_(Intercept),q_ppFEV1,q_Age,q_Sexmale,diff_(Intercept),diff_ppFEV1,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_ppFEV1,passed_ss_Age,passed_ss_Sexmale
Roseburia_sp_AF02_12,-2.295461256768937,0.027170401025869734,0.049340829989902225,-2.5008798246112254,2.3603158179812525,0.021677432399697886,0.02877116607452932,0.27643937699350735,-0.9725229307373856,1.253395721637605,1.714940223906424,-9.046756839818674,0.4333718341605657,0.3367256051244848,0.22849155867026438,0.011998926122719768,0.8358583657599414,0.7124111976187447,0.5486514909383593,0.04911617550135179,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Granulicatella_adiacens,1.8084048456523154,0.04775415166550464,-0.06406062858308197,-3.734105580877725,2.345865617117313,0.022009450093010995,0.027147615408858,0.22109726851852107,0.7708902131719508,2.169711258741024,-2.3597147527800773,-16.888972016245976,0.5819080236379104,0.2749393583575594,0.2551806783952804,0.037650448346024525,0.9576138187529962,0.6520254304239822,0.5781084395503697,0.09867356189548716,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Blautia_SGB4793,-9.414235034996574,0.09828685410944803,-0.0933494589884767,3.5750352129177694,2.3251961447497833,0.02165078039965179,0.027127392440191425,0.1904956802803941,-4.048791778815567,4.539644867075036,-3.441151197789727,18.767014599258154,0.15415183877874203,0.13803116028018328,0.18004318861414806,0.03389022145717011,0.5139434529367649,0.5274026422645809,0.48710430134261185,0.09364464697496139,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Actinomyces_naeslundii,-0.4469470753528194,0.01708309202863917,-0.09794741251301683,0.44326506783974984,2.300049447623601,0.022089605406807197,0.026983870890924654,0.39582032204412637,-0.19432063767785637,0.7733543317788191,-3.6298503246233285,1.119864350447207,0.8553947784570506,0.4824747447580411,0.022162827737196234,0.32546932842078896,1,0.8518174804004036,0.25416244170237423,0.4901185180924822,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Gemella_haemolysans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Clostridium_paraputrificum,-10.622438083968316,0.08547124904233125,0.10439482386168679,1.3099757384193902,2.3259723585010463,0.021642368538038435,0.027161557095276127,0.1878849702821633,-4.566880618828101,3.949255780027391,3.843477142915451,6.9722220806277635,0.1372333139655073,0.15788149889402087,0.16204370517852246,0.09068953081597372,0.5025486990919359,0.5290245786524719,0.47139986961024716,0.1719742213991798,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Rothia_mucilaginosa,-4.03188678396137,0.02241186597161671,0.036105140452789564,1.3371568553886786,2.4258342659991743,0.023622910457822003,0.030546465697279958,0.4627963980673325,-1.6620619308057636,0.9487343234709552,1.1819743996112972,2.889298319893438,0.11482747556235966,0.3560488221914756,0.25348591177664315,0.010191020826733637,0.4807243379815419,0.7291879878481421,0.5781084395503697,0.044218666638030694,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Streptococcus_vestibularis,-8.578304436827,0.044414423151037156,0.07764385430451175,2.9364700644577306,2.638855603653797,0.024960312303462566,0.02991145340858863,0.29136705482762587,-3.2507668949181445,1.7794017402929634,2.59579008896363,10.078250151496915,0.047461965742830486,0.17322173895524123,0.08066887174550261,0.002080333198205225,0.3125583770417656,0.5379256818033584,0.42567794937397413,0.014793480520570487,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Enterocloster_bolteae,-0.05485842819081578,0.010282665764985344,-0.0075676099011326575,-1.9587348335878922,3.1616662823662853,0.026667980322177858,0.039735202486100775,0.7449719022939787,-0.017351112765056943,0.38558097166563393,-0.19045102145332665,-2.6292734364294748,0.9863852007461393,0.7052201867258607,0.8515093067608968,0.01895999205855655,1,1,1,0.06648983516425311,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Lachnospira_pectinoschiza,-14.058396846575718,0.03962006923312384,0.20624081494383445,4.674807288450867,2.282864004612497,0.021245060187751425,0.026953732496984455,0.2172976779201089,-6.158227918163723,1.8649073658998763,7.65166067322618,21.513378942639207,0.008616682061364567,0.15905405989963553,0.004635793926496184,2.1977438181741772e-4,0.1501978575077594,0.5290245786524719,0.20607423039785042,0.0037508161163505955,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Streptococcus_infantis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Butyricicoccus_SGB14985,-6.005511086725321,0.011364978928610391,0.144443644400379,-1.1649088243797865,2.319046169205233,0.021567746129662134,0.027092498266123814,0.1810225678451825,-2.5896470568257324,0.5269432818935182,5.3314996270015405,-6.4351579929860545,0.23460241969910878,0.6912590317372667,0.11803582956195914,0.09814341660398468,0.601323757944879,1,0.4374120342335666,0.17946224750442913,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Enterococcus_faecalis,-0.8265847946997402,0.037728458070694644,-0.02758319398420008,-2.455859640213291,2.8553127085393872,0.026487641282864592,0.03430524541961092,0.5988468725864526,-0.28949011161813276,1.4243796821237522,-0.8040517899467318,-4.1009809896915685,0.7767717564060502,0.17789721750183365,0.4358242402099718,0.0012508421416239125,1,0.5379256818033584,0.8449417338582412,0.010777050719328466,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Veillonella_atypica,-3.3858992843930102,0.011421275535723592,0.10840594253390959,-2.55182250392389,2.930751428451553,0.028188549022438187,0.0349432608924853,0.5992857467988751,-1.1553007367062627,0.40517429707475244,3.1023419041358777,-4.2581064501443935,0.3001741531186786,0.7021032521005376,0.026782022685096597,0.00802937043751827,0.7181736747512311,1,0.25416244170237423,0.0369603599712903,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Dorea_longicatena,-0.6650597452387786,0.005755719428671128,0.007232346142918673,-0.4411274547611662,2.1741594005374565,0.01964241295131554,0.02870280001542195,0.41674222868358535,-0.30589281773653515,0.29302506993091404,0.251973540526804,-1.0585139311526204,0.763195864398915,0.7728543134431929,0.8039160753451264,0.30382018011896494,1,1,1,0.4629640839908037,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Bifidobacterium_bifidum,-6.133474847080115,0.05777220407072602,0.05143140196887385,0.5308507085942846,2.3324475280916337,0.021948183747808235,0.028004215086614055,0.478720263185515,-2.629630366046611,2.6322088758936695,1.8365593111537675,1.1088954226877332,0.025178120433875482,0.02506694152880624,0.09613858078131973,0.2934310497021847,0.2426093695045339,0.22128058728877234,0.4259401690373,0.4525201730346945,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Blautia_wexlerae,-1.4693257133566198,0.006408799992014613,0.00565725966992461,0.82656656434499165,2.421764373701982,0.02220116139242411,0.0305834220708318,0.5819305378931489,-0.6067170403991716,0.2886695825832581,0.18497798110434752,1.4203869886903264,0.5497356071538273,0.7753128573866117,0.8548005984476064,0.16835673687749256,0.9138462040998688,1,1,0.2835481884252506,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
