"FeatureID","Time","n","prevalence","mean","sd","median","iqr","sum_abundance"
"Bacteroides_cellulosilyticus","T12",34,8.823529411764707,3.130238519963407e-5,1.5740159409063093e-4,0,0,0.0010642810967875585
"Bacteroides_clarus","T0",34,5.88235294117647,1.3625518875888623e-6,7.598916072805545e-6,0,0,4.6326764178021314e-5
"Bacteroides_clarus","T12",34,0,0,0,0,0,0
"Bacteroides_eggerthii","T0",34,8.823529411764707,0.0010966260437812918,0.0045219921996848605,0,0,0.03728528548856392
"Bacteroides_eggerthii","T12",34,5.88235294117647,8.800621123694719e-4,0.0050574286214644885,0,0,0.029922111820562047
"Bacteroides_faecis","T0",34,11.76470588235294,2.3970254964376564e-4,0.0012467364590635077,0,0,0.008149886687888032
"Bacteroides_faecis","T12",34,2.941176470588235,2.5760225173444917e-5,1.5020663378674024e-4,0,0,8.758476558971272e-4
"Bacteroides_fragilis","T0",34,52.94117647058824,0.004076637536897076,0.011590928690288086,4.50609679386559e-5,0.0023024374056365912,0.13860567625450063
"Bacteroides_fragilis","T12",34,20.588235294117645,2.1110373102054315e-4,5.844968088376238e-4,0,0,0.0071775268546984666
"Bacteroides_ovatus","T0",34,41.17647058823529,8.164688928627309e-4,0.002495942418638692,0,4.030502745511242e-4,0.02775994235733285
"Bacteroides_ovatus","T12",34,41.17647058823529,2.829458381599849e-4,7.155194761105999e-4,0,9.158168537939109e-5,0.009620158497439486
"Bacteroides_stercoris","T0",34,14.705882352941178,9.27030985778277e-4,0.004644284100568749,0,0,0.031519053516461414
"Bacteroides_stercoris","T12",34,20.588235294117645,0.002398305619378437,0.013552770005070672,0,0,0.08154239105886685
"Bacteroides_thetaiotaomicron","T0",34,29.411764705882355,2.485330093213379e-4,5.953099508871076e-4,0,4.992484118133239e-5,0.008450122316925488
"Bacteroides_thetaiotaomicron","T12",34,29.411764705882355,2.870463556067706e-4,7.268215960523834e-4,0,5.897260509540563e-5,0.0097595760906302
"Bacteroides_uniformis","T0",34,52.94117647058824,0.001504368575201715,0.00351423027720955,1.0621708159780872e-5,6.445939394532038e-4,0.05114853155685832
"Bacteroides_uniformis","T12",34,50,0.0012848939201947067,0.00460171441717514,2.270000454000091e-5,5.918769495845723e-4,0.04368639328662003
"Bacteroides_xylanisolvens","T0",34,29.411764705882355,5.137967692184379e-4,0.0011851731522582714,0,1.5627992067232348e-4,0.01746909015342689
"Bacteroides_xylanisolvens","T12",34,26.47058823529412,3.2868685689650494e-4,0.0012087312124541981,0,1.8224998177500183e-5,0.011175353134481168
"Bacteroidota_unclassified_SGB1343","T0",34,0,0,0,0,0,0
"Bacteroidota_unclassified_SGB1343","T12",34,0,0,0,0,0,0
"Baileyella_intestinalis","T0",34,2.941176470588235,4.0068680862102656e-5,2.3363855059682913e-4,0,0,0.0013623351493114904
"Baileyella_intestinalis","T12",34,8.823529411764707,6.428867936000025e-4,0.0037195340393189067,0,0,0.021858150982400088
"Barnesiella_intestinihominis","T0",34,8.823529411764707,2.4067130041544946e-4,0.0012109745852802055,0,0,0.008182824214125282
"Barnesiella_intestinihominis","T12",34,23.52941176470588,2.2246893502064877e-4,0.0010428243226723564,0,0,0.007563943790702059
"Bifidobacterium_adolescentis","T0",34,23.52941176470588,0.011722421580109915,0.04291211097100645,0,0,0.39856233372373717
"Bifidobacterium_adolescentis","T12",34,29.411764705882355,0.02648186358758347,0.08104197868051753,0,1.523975436969154e-4,0.900383361977838
"Bifidobacterium_animalis","T0",34,29.411764705882355,0.0025270973980963092,0.0121784152157375,0,5.514954717634528e-6,0.08592131153527452
"Bifidobacterium_animalis","T12",34,20.588235294117645,0.0033951203505063333,0.013194736154545318,0,0,0.11543409191721533
"Bifidobacterium_bifidum","T0",34,41.17647058823529,0.016323371188154138,0.051286564401823644,0,0.006471354173304848,0.5549946203972407
"Bifidobacterium_bifidum","T12",34,41.17647058823529,0.02025002127136477,0.040092285144192503,0,0.011773536188867742,0.6885007232264022
"Bifidobacterium_breve","T0",34,17.647058823529413,8.69282615934129e-4,0.0029411256193662165,0,0,0.029555608941760386
"Bifidobacterium_breve","T12",34,17.647058823529413,0.001288358873574276,0.0041820867575891,0,0,0.04380420170152538
"Bifidobacterium_catenulatum","T0",34,0,0,0,0,0,0
"Bifidobacterium_catenulatum","T12",34,8.823529411764707,3.396947303982901e-4,0.0014731539217520302,0,0,0.011549620833541864
"Bifidobacterium_dentium","T0",34,8.823529411764707,6.0339418632028964e-6,2.9940786304841454e-5,0,0,2.0515402334889848e-4
"Bifidobacterium_dentium","T12",34,11.76470588235294,1.6412876132889694e-4,6.454722076211287e-4,0,0,0.005580377885182496
"Bifidobacterium_longum","T0",34,76.47058823529412,0.05569802131527495,0.1069626496470661,0.01002391110839721,0.0471159774912267,1.8937327247193483
"Bifidobacterium_longum","T12",34,76.47058823529412,0.05433260358125474,0.1198361816303563,0.012754413416435531,0.044589628278297,1.847308521762661
"Bifidobacterium_pseudocatenulatum","T0",34,23.52941176470588,0.014105824832189532,0.061071423103149426,0,0,0.4795980442944441
"Bifidobacterium_pseudocatenulatum","T12",34,44.11764705882353,0.019163148223146242,0.055171176521751145,0,0.01134866367486513,0.6515470395869722
"Bifidobacterium_pseudolongum","T0",34,0,0,0,0,0,0
"Bifidobacterium_pseudolongum","T12",34,5.88235294117647,7.187738773635658e-4,0.003828078689539621,0,0,0.024438311830361235
"Bifidobacterium_pullorum","T0",34,2.941176470588235,1.7696425260912847e-5,1.03187004407108e-4,0,0,6.016784588710368e-4
"Bifidobacterium_pullorum","T12",34,2.941176470588235,8.013994914654574e-6,4.672921883288568e-5,0,0,2.724758270982555e-4
"Bilophila_wadsworthia","T0",34,32.35294117647059,0.0016229328904233023,0.006107820394226068,0,4.572247800601686e-4,0.055179718274392275
"Bilophila_wadsworthia","T12",34,29.411764705882355,2.2148093026027718e-4,5.469331793238929e-4,0,1.0374060649591803e-4,0.007530351628849424
"Bittarella_massiliensis","T0",34,17.647058823529413,5.348739231267045e-5,2.274245951002877e-4,0,0,0.0018185713386307954
"Bittarella_massiliensis","T12",34,17.647058823529413,1.5576278746453753e-5,4.77602231934311e-5,0,0,5.295934773794275e-4
"Blautia_SGB101324","T0",34,5.88235294117647,6.107056596120525e-4,0.0034749483875313623,0,0,0.020763992426809787
"Blautia_SGB101324","T12",34,0,0,0,0,0,0
"Blautia_SGB4793","T0",34,14.705882352941178,0.0012177261239467367,0.0057014604461332104,0,0,0.04140268821418905
"Blautia_SGB4793","T12",34,8.823529411764707,2.0379910786013465e-4,6.932892859471198e-4,0,0,0.006929169667244578
"Blautia_SGB4815","T0",34,29.411764705882355,1.4675421349510985e-4,3.497432081691594e-4,0,2.309215158031694e-5,0.004989643258833735
"Blautia_SGB4815","T12",34,32.35294117647059,0.0010684489005574544,0.002373272959850124,0,7.256607921731845e-4,0.03632726261895345
"Blautia_SGB59878","T0",34,11.76470588235294,2.4852536259722464e-6,9.944387522427152e-6,0,0,8.449862328305637e-5
"Blautia_SGB59878","T12",34,0,0,0,0,0,0
"Blautia_caecimuris","T0",34,50,0.008168356433414563,0.025282883267150474,4.424274795574399e-5,0.004336842327132055,0.27772411873609515
"Blautia_caecimuris","T12",34,58.82352941176471,0.0036553812464894648,0.011403293252502568,9.6956866293039e-5,0.0017209964424628706,0.1242829623806418
"Blautia_faecicola","T0",34,2.941176470588235,1.1254885730180812e-4,6.562669727466514e-4,0,0,0.0038266611482614763
"Blautia_faecicola","T12",34,8.823529411764707,2.456960950159618e-4,0.0013231706780327673,0,0,0.0083536672305427
"Blautia_faecis","T0",34,70.58823529411765,0.006014248821135849,0.010998774645081408,5.863269333496783e-4,0.006272651647205963,0.20448445991861885
