"","Name","p_value","p_adj","time0","time12","Group","Logfc"
"1215","THIO_HUMAN",0.0220988541841507,0.0891585734945483,0.000413882095229927,0.000538051279209509,"time12",0.378523837881524
"1216","COX5B_HUMAN",0.655438425019384,0.775080917172991,7.26252746416117e-05,7.9711575844373e-05,"time12",0.134317535684244
"1217","PPGB_HUMAN",0.000418396666646004,0.0105551069650365,1.832621652114e-05,3.62067647934666e-05,"time12",0.982350302756207
"1218","MGST1_HUMAN",0.588797086071483,0.719932761419764,3.46475694912776e-05,3.3659691206176e-05,"time0",-0.0417322101638571
"1219","CO7_HUMAN",0.00833890710066832,0.0515715885887802,3.84476304889636e-05,6.79084352043801e-05,"time12",0.820696100827148
"1220","KAP0_HUMAN",0.00265035667925127,0.0263967921902747,0.000209656444804359,0.000110320187466508,"time0",-0.926330365541726
"1221","ESTD_HUMAN",0.00663953647017479,0.0452716339456096,0.000110763013583428,0.000146776023370685,"time12",0.406140104204695
"1222","CH60_HUMAN",0.253436105325818,0.40660055254126,0.00101125221418526,0.000789096262731071,"time0",-0.357869649448291
"1223","CLUS_HUMAN",0.0262289941310883,0.0984081544880592,0.00108638610442299,0.0015799280548897,"time12",0.540321932145384
"1224","BIP_HUMAN",0.0164312124252319,0.0737367631975284,0.00212082269949605,0.00136771411062791,"time0",-0.63285731747531
"1225","LAMC1_HUMAN",0.266250586794457,0.422523017094451,2.95679265682793e-06,1.71970185427176e-06,"time0",-0.781874613235293
"1226","CD37_HUMAN",0.327876933144661,0.488655157979221,8.41718768340552e-07,1.26030833348767e-06,"time12",0.582366539666107
"1227","PPAL_HUMAN",0.000560855227419458,0.012050317530131,2.13342727116119e-05,7.5709706386047e-06,"time0",-1.49462275135856
"1228","HSP7C_HUMAN",0.887194808572531,0.939243990004205,0.00160521346295875,0.00160516898386384,"time0",-3.99764020095346e-05
"1229","GTR1_HUMAN",0.72408166091539,0.830964942485183,5.24858303398357e-06,9.38141820798778e-06,"time12",0.837878045058208
"1230","GTR3_HUMAN",0.151886919513345,0.295897120108679,0.000317011145393047,0.000407768920820882,"time12",0.363218257610928
"1231","EPB41_HUMAN",0.10840902651222,0.236237546646293,3.05508660713271e-05,2.31718831268686e-05,"time0",-0.398837985317853
"1232","UMPS_HUMAN",0.762099583946506,0.857900643594511,2.41275230784232e-05,2.19593150748075e-05,"time0",-0.135846760220464
"1233","ODPB_HUMAN",0.151886919513345,0.295897120108679,8.51776231326327e-05,7.03263507952066e-05,"time0",-0.276409113876925
"1234","ODB2_HUMAN",0.0065760546776229,0.0452716339456096,7.38056296367971e-06,1.43684243471561e-05,"time12",0.961099094026649
"1235","ITAM_HUMAN",0.515848442912102,0.664330045173347,0.00323279382067991,0.00303980767077052,"time0",-0.0888014520415853
"1236","PYGB_HUMAN",4.96841967105866e-05,0.0035754663488233,0.000102930179019763,0.000181877320031593,"time12",0.821299610274762
"1237","PYGM_HUMAN",0.0426947379917663,0.134148169397591,1.61757932486169e-05,8.27149982018278e-07,"time0",-4.28954370426292
"1238","MBL2_HUMAN",0.610298655976554,0.737768442045732,1.05134885897847e-06,1.00088064555369e-06,"time0",-0.0709715204890312
"1239","RALA_HUMAN",0.205409692600369,0.349625856217291,0.000143330567310279,0.000129766082140971,"time0",-0.143432972512354
