"","Name","p_value","p_adj","time0","time12","Group","Logfc"
"5599","HOOK1_HUMAN",0.00648609893187563,0.0448396631019596,4.72420917524456e-05,0.000174895186617952,"time12",1.88834583473151
"5602","S2513_HUMAN",0.00284505134147752,0.0275421258713861,1.49928673262842e-05,2.58453945459005e-05,"time12",0.785630906717642
"5603","DBNL_HUMAN",0.00501261278986931,0.038237977259118,0.00032818529272841,0.000197682721813989,"time0",-0.731323807666129
"5612","VPS28_HUMAN",0.00145747698843479,0.0189678336198932,6.68772971197453e-05,3.84959795900051e-05,"time0",-0.796808758605786
"5630","ADA28_HUMAN",0.00317265532163019,0.0293347836472091,4.00075936382329e-07,3.68494011809473e-06,"time12",3.20329541335452
"5634","PACN3_HUMAN",0.00445792825617269,0.0355029406321593,6.73479175441926e-06,1.80875536797006e-05,"time12",1.42529205623797
"5647","RAB21_HUMAN",9.90256667137147e-05,0.00492900256067515,4.82567334715392e-05,8.57267105086664e-05,"time12",0.829014523673636
"5651","PSME2_HUMAN",0.00374443270266056,0.0325553079082846,0.000105389734113723,0.000174671688657739,"time12",0.728911447963535
"5653","DNPEP_HUMAN",7.78767392163004e-05,0.00430701632721261,3.59162873102868e-06,1.75401417500341e-05,"time12",2.28795027633352
"5670","MYO5B_HUMAN",0.00213704575063657,0.0238145042323736,2.98830242499666e-05,6.63129290300737e-05,"time12",1.14996401947927
"5671","COR1C_HUMAN",1.99116766452789e-06,0.00099110370501876,4.68126502524679e-05,0.000105739932632529,"time12",1.17554996343799
"5678","PADI4_HUMAN",0.00403179414570332,0.033728160269308,0.000395704737577882,0.000688680562732788,"time12",0.799410620999499
"5683","PRP19_HUMAN",0.00236749462783337,0.0250827491665221,1.46117193386485e-05,2.80304580124176e-05,"time12",0.939869370081905
"5689","NDRG2_HUMAN",0.00193520642643671,0.0224446368642844,1.11922836810107e-05,3.19364967181796e-05,"time12",1.51270162983686
"5691","S6A14_HUMAN",9.90256667137147e-05,0.00492900256067515,2.64080656035806e-05,6.12420566535148e-05,"time12",1.21354410511562
"5701","PSD13_HUMAN",0.00347515568137169,0.0309779118718051,9.14147912690419e-05,0.000130228676828285,"time12",0.510547647225429
"5704","CSN3_HUMAN",3.952448035942e-05,0.00314772961582421,9.55886242293568e-06,2.19952389317326e-05,"time12",1.20228043127056
"5705","MINP1_HUMAN",0.00523759225437492,0.0393286678228907,1.3956534175674e-06,3.92171852523562e-06,"time12",1.49054527047967
"5707","COG5_HUMAN",0.0011680676192014,0.0171145294994228,4.64832229319013e-06,1.79919948082286e-05,"time12",1.95257314279306
"5719","TBD2B_HUMAN",0.0065760546776229,0.0452716339456096,3.88546093447003e-05,1.16248850501612e-05,"time0",-1.74086930597628
"5721","SHAN2_HUMAN",0.00164421131055691,0.0202492250679514,3.12646518300808e-06,1.57118079497105e-05,"time12",2.3292448440778
"5723","MARE3_HUMAN",0.00352426922725556,0.03103354621427,1.19790052177875e-06,5.29353170024275e-06,"time12",2.14372246421366
"5735","CHM2B_HUMAN",0.000653585176323472,0.0129684755451225,4.29626658015277e-06,7.10330372730537e-07,"time0",-2.59652143488814
"5741","RUVB2_HUMAN",9.22009348869325e-06,0.00171321307396894,9.17080223687095e-05,0.000206713277649266,"time12",1.17251121172379
"5745","EIF3L_HUMAN",3.790482878685e-06,0.00133179730790503,5.49187173350144e-05,0.000129500025209462,"time12",1.23758254291666
"5747","RUVB1_HUMAN",0.000152871012687683,0.00602635491564066,0.000144737407722722,0.000292937506172863,"time12",1.01715508212365
"5759","NCKP1_HUMAN",0.00127362695713335,0.0177328060954721,3.61026688563182e-05,8.29570636341005e-05,"time12",1.20025933816607
"5760","B3GN3_HUMAN",0.000301176792118817,0.00881827931042006,3.91923267239856e-06,1.07547181811377e-05,"time12",1.45632659175808
"5763","EXOG_HUMAN",0.00166169445798351,0.0203387315523269,0,1.7028396702111e-06,"time12",Inf
"5785","COA3_HUMAN",0.00464356473936153,0.0366616828808267,1.99067803297908e-06,5.6919317807524e-06,"time12",1.51565846867091
"5792","M3K2_HUMAN",0.000205739874220939,0.00717881212717501,2.7290183863132e-05,8.06548776478033e-06,"time0",-1.75854842566284
"5798","ZN281_HUMAN",0.00265508212648921,0.0263967921902747,3.45356971393457e-06,3.16167679164872e-07,"time0",-3.4493265481241
"5800","PRG3_HUMAN",0.00733417906453855,0.0480340477549219,1.90570399776466e-05,7.26052739528988e-05,"time12",1.92975029654416
"5810","LSM2_HUMAN",0.000922211128804291,0.0154179762251497,3.62210121706145e-05,1.52533686795871e-05,"time0",-1.24769896742527
"5816","SHLB1_HUMAN",0.00461654388494957,0.0365711095819679,5.42541781232994e-05,2.16784145119455e-05,"time0",-1.32347499744889
"5818","LC7L2_HUMAN",0.00782210209050042,0.0499694286487262,3.62935578242946e-05,1.5066663973782e-05,"time0",-1.26835347576106
"5832","CIA2B_HUMAN",0.00210524537077069,0.0237257181124779,2.0266587467657e-06,6.79752040406647e-08,"time0",-4.89795079809804
"5838","PTH2_HUMAN",0.00429083743463042,0.0349221893754409,1.34842556831596e-06,3.92287888276798e-06,"time12",1.54063690499053
"5847","TMED3_HUMAN",0.00203191180117193,0.0230296189533206,3.49602777912238e-06,9.17303182561286e-06,"time12",1.3916819967373
"5848","T22D4_HUMAN",0.00063949475675379,0.0129684755451225,3.60676613629246e-05,8.45065290170919e-06,"time0",-2.09357116725444
