SampleType,Time,Rank,Taxon,n_samples,n_nonzero,n_unique_values,zero_percent,mean_RA_percent,sd_RA_percent,median_RA_percent,Q1_RA_percent,Q3_RA_percent,min_RA_percent,max_RA_percent,shapiro_p,distribution,recommended_summary
feces,T12,Species,Streptococcus_gordonii,9,4,5,55.55555555555556,0.024300315822208884,0.061174587523612586,0,0,0.009303987540677374,0,0.186312275645267,2.811158997829435e-6,Non-normal,Median [IQR]
feces,T12,Species,Clostridium_sp_NSJ_42,9,2,3,77.77777777777779,0.024117529126569476,0.07189199630412096,0,0,0,0,0.21582644373724336,3.4911200748568065e-7,Non-normal,Median [IQR]
feces,T12,Species,Phascolarctobacterium_faecium,9,1,2,88.88888888888889,0.02354272438689779,0.07062817316069336,0,0,0,0,0.2118845194820801,NA,Not assessed: identical or nearly identical values,Median [IQR]
feces,T12,Species,GGB3005_SGB3996,9,1,2,88.88888888888889,0.023044253734913752,0.06913276120474125,0,0,0,0,0.20739828361422377,NA,Not assessed: identical or nearly identical values,Median [IQR]
feces,T12,Species,GGB3600_SGB47662,9,1,2,88.88888888888889,0.022168216911113085,0.06650465073333926,0,0,0,0,0.19951395220001777,NA,Not assessed: identical or nearly identical values,Median [IQR]
feces,T12,Species,GGB9715_SGB15266,9,2,3,77.77777777777779,0.021833211117116755,0.047405143972123226,0,0,0,0,0.13673499606756664,2.8193479407529926e-5,Non-normal,Median [IQR]
feces,T12,Species,Streptococcus_anginosus,9,3,4,66.66666666666666,0.02113882598082128,0.05874972356322659,0,0,0.005182306275510759,0,0.17762796040752266,7.802623006986934e-7,Non-normal,Median [IQR]
feces,T12,Species,Hydrogeniiclostridium_mannosilyticum,9,3,4,66.66666666666666,0.02015644046860971,0.05109446882539309,0,0,3.1080130793211056e-4,0,0.15435888228182273,3.2445337510858897e-6,Non-normal,Median [IQR]
feces,T12,Species,Clostridium_SGB4750,9,2,3,77.77777777777779,0.01993810529324462,0.05422045471972944,0,0,0,0,0.16387242909177446,1.1959730490568444e-6,Non-normal,Median [IQR]
feces,T12,Species,Collinsella_bouchesdurhonensis,9,1,2,88.88888888888889,0.01982654946195152,0.05947964838585457,0,0,0,0,0.1784389451575637,NA,Not assessed: identical or nearly identical values,Median [IQR]
feces,T12,Species,Roseburia_intestinalis,9,5,6,44.44444444444444,0.01932445489765807,0.035840252778861416,0.004023052794792705,0,0.018215319293818408,0,0.11144983184726835,1.1163589314400409e-4,Non-normal,Median [IQR]
feces,T12,Species,Roseburia_inulinivorans,9,2,3,77.77777777777779,0.018849890679804256,0.04575116345511575,0,0,0,0,0.13751617121751525,6.150389825276674e-6,Non-normal,Median [IQR]
feces,T12,Species,Roseburia_faecis,9,6,7,33.33333333333333,0.017328721582394926,0.02494965961523558,0.0015650778952310772,0,0.029958507164149155,0,0.060724406925626626,0.003056213456000864,Non-normal,Median [IQR]
feces,T12,Species,Zhenpiania_hominis,9,2,3,77.77777777777779,0.017064244037859652,0.03404736885015285,0,0,0,0,0.08390777889654816,3.139853042372395e-5,Non-normal,Median [IQR]
feces,T12,Species,Clostridium_saccharogumia,9,2,3,77.77777777777779,0.016942956930756425,0.048216440222360435,0,0,0,0,0.1453667157204555,6.418403537004961e-7,Non-normal,Median [IQR]
feces,T12,Species,Streptococcus_australis,9,5,6,44.44444444444444,0.016760112071589048,0.03418819045635622,0.0033377134922921072,0,0.004360078275516374,0,0.10221443778429587,5.159395909917116e-5,Non-normal,Median [IQR]
feces,T12,Species,Erysipelatoclostridium_SGB66626,9,2,3,77.77777777777779,0.01564936336434712,0.042330065898365514,0,0,0,0,0.12795579815450742,1.2890665819135097e-6,Non-normal,Median [IQR]
feces,T12,Species,GGB34797_SGB14322,9,2,3,77.77777777777779,0.01548184038703147,0.04350257563866007,0,0,0,0,0.1312703927924769,7.619092412259125e-7,Non-normal,Median [IQR]
feces,T12,Species,Lachnospiraceae_bacterium_CLA_AA_H244,9,2,3,77.77777777777779,0.014866604741432032,0.04445739390435157,0,0,0,0,0.13341918082457954,3.3515099704922516e-7,Non-normal,Median [IQR]
feces,T12,Species,Enterocloster_aldenensis,9,2,3,77.77777777777779,0.014628027789028426,0.03089683766312694,0,0,0,0,0.08699888957560713,3.724732998908667e-5,Non-normal,Median [IQR]
feces,T12,Species,Coprobacillus_cateniformis,9,1,2,88.88888888888889,0.01431015572057381,0.042930467161721435,0,0,0,0,0.1287914014851643,NA,Not assessed: identical or nearly identical values,Median [IQR]
feces,T12,Species,Lentihominibacter_hominis,9,1,2,88.88888888888889,0.014045776852068568,0.0421373305562057,0,0,0,0,0.1264119916686171,NA,Not assessed: identical or nearly identical values,Median [IQR]
feces,T12,Species,Fusicatenibacter_sp_CLA_AA_H277,9,2,3,77.77777777777779,0.012822836492583516,0.034317398197528264,0,0,0,0,0.10375750760611008,1.4973299437329034e-6,Non-normal,Median [IQR]
feces,T12,Species,Parasutterella_SGB9260,9,1,2,88.88888888888889,0.011890801929081127,0.03567240578724338,0,0,0,0,0.10701721736173014,NA,Not assessed: identical or nearly identical values,Median [IQR]
feces,T12,Species,Enterococcus_faecalis,9,1,2,88.88888888888889,0.011351597301563154,0.03405479190468946,0,0,0,0,0.10216437571406839,NA,Not assessed: identical or nearly identical values,Median [IQR]
feces,T12,Species,Latilactobacillus_sakei,9,2,3,77.77777777777779,0.01134735735649374,0.03347401608270359,0,0,0,0,0.1006012685156544,3.994230982745324e-7,Non-normal,Median [IQR]
feces,T12,Species,Clostridium_fessum,9,2,3,77.77777777777779,0.011219121836509117,0.022505749436672943,0,0,0,0,0.05708931170003665,3.688676517090554e-5,Non-normal,Median [IQR]
