"FeatureID","Time","n","mean","sd","median","iqr"
"Dorea_longicatena","H12",9,0.00837588447069117,0.010677134769520437,0.00440519264754496,0.01545718628596409
"Dorea_sp_AF36_15AT","H0",9,3.3465804349621636e-5,4.990827462709118e-5,0,5.482876754972447e-5
"Dorea_sp_AF36_15AT","H12",9,5.502089342428359e-4,8.103605934637395e-4,5.778749151622439e-5,6.934611393572569e-4
"Eggerthella_lenta","H0",9,0.003471805813154572,0.007784745646213242,7.682461268273082e-5,0.00309062601099967
"Eggerthella_lenta","H12",9,0.005212630888042365,0.004772104754166022,0.00422168434658235,0.00784992202695161
"Eisenbergiella_tayi","H0",9,1.5779153862088296e-4,4.6674632263970665e-4,0,0
"Eisenbergiella_tayi","H12",9,5.4151412186305934e-6,1.2551922824257955e-5,0,0
"Enterobacter_ludwigii","H0",9,0.0019943596708314835,0.00598307901249445,0,0
"Enterobacter_ludwigii","H12",9,2.218308412756299e-5,6.654925238268897e-5,0,0
"Enterocloster_aldenensis","H0",9,1.471749337610542e-4,3.6673601246739755e-4,0,6.338584502950682e-5
"Enterocloster_aldenensis","H12",9,1.4628027789028426e-4,3.0896837663126937e-4,0,0
"Enterocloster_bolteae","H0",9,0.01517395404307803,0.045169372057886036,4.9651750506559734e-5,3.298283732866646e-4
"Enterocloster_bolteae","H12",9,0.0032980987961493354,0.009346183675939748,0,6.731841459615723e-4
"Enterocloster_clostridioformis","H0",9,0.003154407616272065,0.006245503848219482,1.9763485528641476e-5,0.0017972458325205
"Enterocloster_clostridioformis","H12",9,0.0010680638707847277,0.0032041916123541833,0,0
"Enterocloster_hominis","H0",9,9.690611794723475e-4,0.0027249779305359863,2.876818162397238e-6,3.343952306604075e-5
"Enterocloster_hominis","H12",9,7.55347315906999e-5,1.4569363211379944e-4,0,3.95226470817163e-5
"Enterocloster_lavalensis","H0",9,6.857947805456702e-5,2.0573843416370107e-4,0,0
"Enterocloster_lavalensis","H12",9,4.7104631398016e-7,1.41313894194048e-6,0,0
"Enterococcus_avium","H0",9,0.003816277237854082,0.011394795252305119,0,0
"Enterococcus_avium","H12",9,0,0,0,0
"Enterococcus_faecalis","H0",9,0.0012281148106888468,0.00368434443206654,0,0
"Enterococcus_faecalis","H12",9,1.1351597301563112e-4,3.4054791904689335e-4,0,0
"Enterococcus_faecium","H0",9,3.4445896026016795e-4,6.570852067681911e-4,0,1.9385633623340143e-4
"Enterococcus_faecium","H12",9,7.854411011499885e-5,2.3085449278452018e-4,0,0
"Erysipelatoclostridium_SGB66626","H0",9,5.489571354184867e-4,0.00164687140625546,0,0
"Erysipelatoclostridium_SGB66626","H12",9,1.5649363364347076e-4,4.2330065898365377e-4,0,0
"Erysipelatoclostridium_ramosum","H0",9,7.371764143000263e-4,0.0012677421538355008,8.817951548936613e-5,5.946812480393192e-4
