FeatureID,P2H0,P2H12,P4H0,P4H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P21H0,P21H12,P26H0,P26H12,P27H0,P27H12
Anaerobutyricum_soehngenii,0.001231498705920414,0,0.0029598196938234395,0.013679683733874556,0,0,0.0015782852373242115,0.0030808191981513268,0,0.03438946291328303,5.948866185757427e-4,0.01783610684181383,0.005129244879527039,0.03703911233813101,3.548319430725794e-4,0,0,0
Streptococcus_mutans,0,0,1.2679309678713752e-5,0,0,0,0,1.823764223115298e-4,0,0,0,0,0,0,0,0,0,0
Anaerobutyricum_hallii,3.2857489485603366e-4,0.0026461221196916198,4.0488551915220383e-5,0.0015462167000834207,0,0,0,0,9.078057163503925e-5,0.0025911805817759345,0.015353401803204377,0,5.628349120910585e-4,0,0.01244845292469124,0.0014515176094771732,0.001044540543832638,0.0020096013731859073
Veillonella_parvula,0,0,6.254415782693254e-5,5.016275305227812e-5,7.208367903595192e-4,0.0038414163366734893,0,0,7.084090965339156e-5,1.8607975081354747e-4,0,0,0.0012144631182015716,1.435216801685606e-4,0,0,0,0.002599842342213868
Coprococcus_catus,0,3.67653165970087e-4,0,0,4.870382022235268e-5,0,0.002061702246453101,0.004224936034522939,0,0.0037198906220016446,2.903839747297852e-6,0.004458799858525055,0.00112075959594141,0,0.0017716481642369587,0.00427924815493536,0,0
Blautia_stercoris,0,0,0,5.457707532087859e-5,0,0,0,0,0,0,0,0,0,0,4.4223392225523626e-4,0,0,0
Dorea_formicigenerans,0,1.2788806372067806e-4,1.0686846729201591e-4,0.0021842869189083983,0,0,0,5.908309774276124e-4,6.543014710560777e-5,0.0030947789591123835,0,0.0056412529324392615,0.031087882548977225,0.011688976078506257,3.83965936133465e-4,0.0038803937473087594,0,8.666474723265751e-5
Blautia_faecis,0.001104416046586865,0.005533210168522045,5.451037673638618e-4,0.002394368528691339,0,0,5.079192422463486e-4,0.010053210112676736,0,0.013822737782550974,3.3944885321861095e-5,0.024392934157286425,0.004333378718845753,0.007483153649718904,7.932483076163893e-4,0.0033906129520032847,3.0754403501202297e-5,3.542646711358056e-5
Blautia_caecimuris,0.005542401326431576,0.0013831524387693365,0,0,0,0.016786172798831697,0.004641365633971182,0.0011872129804374795,0,8.758581374499735e-4,0,1.6807207317658435e-4,0,0,3.0962402280568794e-4,0,0,1.5781790575739135e-4
GGB3653_SGB4964,0,0,0.045132056075792015,0.0057627973961518145,0,0,0,0,0,0,0,0,0.0010568243323905355,0,0,0,0,0
Phocaeicola_vulgatus,0,0,0.0035046038147248126,0.02247542150507321,0,0,0,0,0.0017425661383057038,1.2853137960289218e-4,0,0,0.011456483153364944,0,0,0,6.42817450230048e-4,8.922666123861137e-4
Streptococcus_gordonii,0,0,2.1309764165905463e-6,0,0,0.00186312275645267,0,2.1235196045570488e-4,0,9.303987540677374e-5,2.4672624611523817e-4,0,0,0,0,0,0,1.8513831683650856e-5
Intestinibacter_bartlettii,0,0,1.2785858499543278e-6,0,4.586867060441947e-4,0,4.5891477601143006e-5,0.005653870947133143,0,0.003335098551084406,0,0.0048968761380405075,0.0014117929156249908,0.010940417970734927,0,0,0,5.0938055821504245e-5
Oscillospiraceae_bacterium_CLA_AA_H250,3.379771918472986e-4,0.0017842286198276134,5.137784140399808e-4,0.0012065145364133932,0,0,0,0,0,0.02555358224574598,0,7.757327720579725e-4,0,0,0.001776972652623948,0,0,0
Tyzzerella_nexilis,0.019286638628275638,0,0,0,0,0,0,0,0,0,0,0,8.420018468595971e-4,0.001899158977114209,0,0,0,0.005156952759406553
Alloscardovia_omnicolens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.850120683304362e-5,2.4118018571674897e-5
Dialister_pneumosintes,0,0,1.2743238971211468e-4,0,0,0,0,0,0,0,0,0,0,0,7.343775492243928e-5,0,0,0
Veillonella_rogosae,0,0,0,0,0,0,0,0,0,3.880003424829896e-5,0,0,0.0037160198139985084,0,0,0,0,2.2666934466740102e-4
Streptococcus_oralis,0,0,0,0,3.138915648426057e-5,3.67214247912819e-4,0,0,0,0,0,0,6.812941683981188e-5,0,0,0,0,0
Streptococcus_intermedius,0,0,0,0,0,3.7387618863910985e-4,0,0,0,5.113182807915367e-5,0,1.3711938783452593e-5,1.5160329693183366e-4,0,0,2.503479836973393e-6,0,0
Gemella_morbillorum,0,0,0,0,0,0,0,0,0,1.9349887880934625e-5,0,0,1.841335590265186e-6,0,0,0,0,1.2209121434623807e-5
Fusobacterium_nucleatum,0,0,8.204259203873603e-6,0,0,0,0,0,0,0,0,0,4.224842215441788e-5,0,0,0,2.783021431584208e-4,0
Streptococcus_anginosus,0,0,3.931651488609558e-5,0,0,7.439167144358098e-5,0,0,0,0.0017762796040752267,0,5.18230627551076e-5,2.2975776309642267e-4,0,0,0,0,0
Corynebacterium_durum,0,0,0,7.283631743190783e-5,0,0,0,0,4.969885599445858e-5,2.0392576139803643e-4,0,0,0,0,5.117536574212116e-4,0,0,0
Eubacterium_rectale,0.0011187722419928826,0.0049142839759458365,0,1.627279709015902e-4,0,0.03873979095435632,0.1497594563556985,0.005549915377138192,6.0710759772263e-4,0.021796595983765345,5.4071498742787586e-5,0.007753597266645991,0.05232789317552951,0.05607672209833349,5.827803232627501e-4,0.17147354823204253,0,0.43533013514396607
Lacticaseibacillus_rhamnosus,7.050711743772242e-4,0,0,0,0.003775406737652063,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprococcus_comes,0.002969204949854416,0.00193983577091185,0.0063410399740276594,0,0,0,0.03619461842592031,0.020752357747652193,1.6412646394944183e-4,0.00476658922032785,0.005069603536756654,0.015571922950196222,0,0.006699802407361256,0,0.02269544667087251,0,0.005196582366686151
Faecalibacterium_prausnitzii,0.0027293958265933354,0,0.02784823910493024,0.003494437703127798,0,0.042406079000725044,7.87887381309777e-4,6.915568598110693e-4,0.009442181443108487,0.006520711698902109,0,2.1324081269854584e-4,0.01038298450424034,0.002280973172065806,0.022243904164031214,0.01668058601456024,0.025915172901760656,0.009944629632798664
Latilactobacillus_sakei,0,0,3.185809742802867e-5,1.5249476927892547e-5,0.008236312150782977,0,0,0,0,0,0,0.001006012685156544,0,0,0,0,0,0
GGB51647_SGB4348,0,0,0.0064020924483629785,0,0,0,0.014937726168666142,0,0,8.732514168028009e-5,0,0,0,0,0.005173092085117874,0,0,0
Actinomyces_johnsonii,0,0,0,0,0,0,0,6.25751974726887e-6,0,8.000627217091105e-5,0,1.2633131835048604e-4,0,0,7.544699582319002e-5,0,0,0
Ruminococcus_lactaris,0,0,0,0,0,0,0,0,0,0,5.2469380261519804e-5,5.69448751830443e-4,0,0,0,0,0,0
Lactococcus_cremoris,0,0,0,0,1.9349896142394174e-4,0,0,3.055082624997237e-4,0,0,0,0,0,0,0,0,0,0
