FeatureID,Rank,Taxon,P2H0,P2H12,P4H0,P4H12,P11H0,P11H12,P14H0,P14H12,P16H0,P16H12,P17H0,P17H12,P21H0,P21H12,P26H0,P26H12,P27H0,P27H12
Streptococcus_salivarius,Species,Streptococcus_salivarius,0,0,0.029364855020617732,0.010634503647082962,2.5170762074041555,0.30825607248514514,0.012602583017381723,2.730034752447977,0,0,1.871704955462608,0.38865280604744895,0.12834109064148347,0.16666316038178589,0,0.03367681076696608,0.028596553550626135,3.502616805015027e-4
Clostridium_spiroforme,Species,Clostridium_spiroforme,0,0,0,0,0.015309807936839347,0,0,0,0,0,0,5.141977043794723e-4,0,0,0,0.09089634592082996,0,0.19266393922899797
GGB3433_SGB4574,Species,GGB3433_SGB4574,0,0,0.11679881739332784,0,0,0,0,0,0,0,0,0,0,0,0,0.003244509868717517,0,0
Clostridium_scindens,Species,Clostridium_scindens,0.08184042381106438,0,0.007117461231412426,0,0,0.03738761886391098,0,0,0,0.03584240889862243,0,0,0,0.024233822810702695,0.005525412477064515,0,0,0
Fusicatenibacter_saccharivorans,Species,Fusicatenibacter_saccharivorans,0.11190755418958266,0.8761433122848393,0.7884612741385022,0.05149708228346871,0,1.7513333722955926,4.637459335330734,0.14131901855041729,1.2187241642350801,2.2253373647939116,4.779199535545852,2.4778985727888188,5.175032757871633,4.077330573617418,0,8.587947246672876,0,0.04058031755524552
Clostridia_bacterium,Species,Clostridia_bacterium,1.3263405855710126,0,0,0,0,0,0,0,0,0.001233179383085471,0,0,0.17322876047528146,0,0.08460913433061336,0,0,0
Clostridium_innocuum,Species,Clostridium_innocuum,0.05602960207052734,0,0.016632270931489213,0,0.5090511138999083,0.010447134320774263,0.00164687140625546,0.014160161621642298,0.0041282114253461556,0.005153286202487253,0.0021628599497115035,0.0983025023078403,0.002240291634822643,0.06585409863125427,0,0.0644896406004346,0,0.04621452687302684
Anaerostipes_hadrus,Species,Anaerostipes_hadrus,0.5421283565189259,0.1774321797990096,0.09296384617376259,0.4379709968994402,3.5265818565410245,14.837706544135406,0.078236433695953,3.9677418801364017,0.07776468172842602,2.218980976754268,0,2.828722559486625,1.8633702394953595,2.715331068812729,0.0011854521314429323,1.3156187100069097,0.7126148210613013,0.9698345634023178
Solobacterium_moorei,Species,Solobacterium_moorei,0.009978566806858621,0,0,0,0,0.001191074251064119,0,0,0,0,0,0,0,0,0,0,0.006564300550584489,0
Gemella_sanguinis,Species,Gemella_sanguinis,0,0,0,0,0,0.006672034575876123,0,0.008528393849100315,0,0.021565600431031284,0,0.005232717815155805,0,0,0,0,0,0.017873353182162394
Streptococcus_australis,Species,Streptococcus_australis,0,0,0,0,0,0,0,0.004360078275516374,0,0.03724602770863841,0,0.10221443778429587,0.016991435641280413,0.0033377134922921072,0,0,1.083462510230881,0.003682751383558657
Agathobaculum_butyriciproducens,Species,Agathobaculum_butyriciproducens,0.05489728243286962,0.06911759437548697,0.007309249108905574,0.3956637309751489,0,0,0,0.06934744868303937,0.12431727950065474,0.15202194297337393,0.003454567975233651,0,0.11814213739984797,0.0796297524994417,0.1538073909524686,0,0,0
Schaalia_SGB17157,Species,Schaalia_SGB17157,0,0,0.019999213669702278,0,0,0,0,0,0,0.02290906414918944,0.04457894674127599,0.005595680900600139,0.13159411685095196,0.07058758322032307,0,0,0.06701434939966901,0
Turicibacter_bilis,Species,Turicibacter_bilis,0,0,0,0,0,0.49410403104948886,0,0.022284844519305912,0,3.9100809707588106e-4,0,0.05598705592978842,0,0.0229189659804058,0,0,0.07288289459235744,0
Actinomyces_sp_ph3,Species,Actinomyces_sp_ph3,0,0,0,0,0.03862891354434002,0,0,0,0,0,0.016001158331661956,0,0,0,0,0,0.019934903515369487,0
Veillonella_dispar,Species,Veillonella_dispar,0,0,0,0.006210148827872031,0,0,0,0,0,0,0,0,0.40462326631860657,0,0,0,5.949212480560443e-4,0.0033124747498856394
Ruthenibacterium_lactatiformans,Species,Ruthenibacterium_lactatiformans,0.30191483338725333,0.29687442773093553,0.0547554390242941,0.02900410381482721,0,0.00458260771172127,0.5905138600295875,0.15613521046814424,0.02877724080969456,0.04809399594033337,0,0.12795456992705653,0.03421815305242804,0.35295814466823533,0.19885457194730002,0.09889746747979691,0,0
Roseburia_faecis,Species,Roseburia_faecis,0.26718699450016176,6.50447898422854e-4,0.004123439366102708,0.0015650778952310772,0,0,0,0,0,0.008010653065734076,0,0.055049401292390554,0,0.029958507164149155,0,0.060724406925626626,0,0
Actinomyces_oris,Species,Actinomyces_oris,0,0,0,0,0,0,0,0,0,0.028553616935182286,0.05925835732589203,0.0212333404984935,0,0,0.02630096339082709,0,0,0
Bacteroides_fragilis,Species,Bacteroides_fragilis,4.9365395503073435,0,0,0,0.010783694082495968,0.02744517702240118,0.0059548459994480975,0,0.024198132505366423,0,0,0,0.6940607618239575,0,0.32830996318266975,0,0,0
Romboutsia_timonensis,Species,Romboutsia_timonensis,0,0,0.015470888784447369,0.04268850284748868,0.06589697754824766,0.2720191524739571,0.0047096505459378706,0.10481345576675356,0,1.241220113697134,0.003875124076566444,1.1494335154467006,0.1850849157481556,0.4706176024131871,0,0,0,0.226629314761058
Blautia_massiliensis,Species,Blautia_massiliensis,0.7527195891297315,0.34503759288646163,0.11105583595061633,0.380033017124059,0,0,0.9754097998488895,6.14565144262576,0.13805460441363918,9.635241579841146,5.0934851153680505,0.9708052658684437,0.21022937619744356,3.95363288873641,0.3087700954228689,0.03178418001021419,0.12946091362358567,0.0039929831577171305
Streptococcus_parasanguinis,Species,Streptococcus_parasanguinis,0,0,0.009706597577569939,0.002026575223312036,0.3791000060550695,0.9273623367988547,0.0025104747046577136,0.09564921716914046,0,0,2.9732415172582707,0.005464610897523019,0.11038806863639791,0.011884282889221897,0.0014767920620517886,0.042989755760507106,0.10600689967479993,0
Abiotrophia_defectiva,Species,Abiotrophia_defectiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048066812869889146,0.017282966426577288,0.0010607925180902652
Abiotrophia_sp_HMSC24B09,Species,Abiotrophia_sp_HMSC24B09,0,0,0,0,0,0,0,0,0,0,0,0,0.00656743027194583,0,0,0,0.12914832788308164,0
Mogibacterium_diversum,Species,Mogibacterium_diversum,0,0,0,0,0.005528541754969764,0,0,0,0,0.001203101837156557,0.0019025156965054892,0.003024692378702778,0,0.005623541520346702,0,0,0.024331270704393816,0
