FeatureID,Rank,Taxon,A1E0,A1E12,A3E0,A3E12,A4E0,A4E12,A6E0,A6E12,A7E0,A7E12,A8E0,A8E12,A9E0,A9E12,A10E0,A10E12,A13E0,A13E12,A16E0,A16E12,A17E0,A17E12,A19E0,A19E12,A22E0,A22E12,A24E0,A24E12,A25E0,A25E12,A27E0,A27E12,A28E0,A28E12,A30E0,A30E12,P2E0,P2E12,P3E0,P3E12,P4E0,P4E12,P5E0,P5E12,P11E0,P11E12,P14E0,P14E12,P17E0,P17E12,P20E0,P20E12,P25E0,P25E12,P26E0,P26E12,P27E0,P27E12,P42E0,P42E12
Actinomyces_graevenitzii,Species,Actinomyces_graevenitzii,0,0.31361095229212754,1.5365903073180616,4.506144118336895,0,0,0.4431799556820044,0.77593,0,0,0,0,0,0,0,0,0,0,0.36357,0,0,0,0,0.023380935263422702,0,2.031858727164754,0,0,0,1.3805387726101919,0,1.0045598995440101,0,0,0,1.4605013329707524,0,0,0,0,0,2.566011644905429,0.19187001918700192,1.680017952937394,0,0.9607300960730095,0,1.2893598710640128,0,0.835868859530129,0,0.80168,0,0,0,0,0,0.02424205901366321,0,0
Fusicatenibacter_saccharivorans,Species,Fusicatenibacter_saccharivorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridia_bacterium,Species,Clostridia_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_innocuum,Species,Clostridium_innocuum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes_hadrus,Species,Anaerostipes_hadrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3151711083172708,0,0,0,0,0
Solobacterium_moorei,Species,Solobacterium_moorei,0.19915414932577113,0.3807604961795343,0,0,0,0,0,0,0,0,0.08846723836466451,0,2.385430238543024,0,0,0,0,0,0,0,0,0,0,0.03959852022791059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08844244637069783,0,0,0.020090004018000804,0,0,0,0,0.5467288424425134,0,0,0,0,0,0,0,0,0,0
Gemella_sanguinis,Species,Gemella_sanguinis,1.5290663197868704,0,0.40735008147001633,0.4750472743893487,0,0,0.35662996433700356,0.76629,0,0,1.6356316181083967,0,0,0,0,0,0,2.69008,2.05409,0,0,0,0,4.317029074498143,0,2.4999098299570788,0,0,0.6957926795849207,1.3170566937354664,2.6317650316629972,1.8552698144730186,0,0,0,1.3236431944033034,0,0,0,0,0,0.4978752400173303,0.34553003455300346,1.9077963577763368,0,1.2609501260950127,0,5.409179459082054,0,0.6806013885761419,3.380248985925304,1.5245,0,0,0,0,0,0.20074236959858272,2.1841257379137566,0
Shuttleworthia_satelles,Species,Shuttleworthia_satelles,0,0,0,0,0,0,0,0.1958,0,0,0.05140024107649812,0,3.6286003628600363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6789260341081448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05681035356554768,0,0,0,0,0,0,0,0,0,0
Streptococcus_australis,Species,Streptococcus_australis,0.3500376280414662,0,1.5595803119160625,0.6394485826295837,0,0,0,0,0,0.3152600315260031,10.436424610109077,0,0,0,0,0,0,7.167370000000001,5.81978,0,0,0,0,0,0,2.3229733457353126,0,0,0.5363214380155437,1.169889933034678,0,0,0,0,0,0.900847856806406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9520893282114995,6.5022580493225846,0.1908,0,0,0,0,2.181620303085835,0.05537429907684216,0,0
Agathobaculum_butyriciproducens,Species,Agathobaculum_butyriciproducens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
