taxon,lfc_(Intercept),lfc_Calprotectin,lfc_Age,lfc_Sexmale,se_(Intercept),se_Calprotectin,se_Age,se_Sexmale,W_(Intercept),W_Calprotectin,W_Age,W_Sexmale,p_(Intercept),p_Calprotectin,p_Age,p_Sexmale,q_(Intercept),q_Calprotectin,q_Age,q_Sexmale,diff_(Intercept),diff_Calprotectin,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_Calprotectin,passed_ss_Age,passed_ss_Sexmale
Haemophilus_parainfluenzae,-3.9398038547051972,0.09973752290069969,0.08594133677111766,NA,2.282794768025868,0.0814750703486724,0.01745383185260197,NA,-1.7258686194170183,1.2241477359132453,4.923923726141876,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_cristatus,-1.1863759706595836,0.025127721817234727,-0.013592877917985146,1.1594478235421843,2.588965069128473,0.09682806275013826,0.017886066551786668,0.2570526231970493,-0.4582433285046039,0.2595086703539243,-0.7599702191998906,4.5105465531599895,0.726452189030348,0.8383572839279563,0.5862916402503437,0.1388937189295344,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Candidatus_Nanoperiomorbus_periodonticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Pseudomonas_aeruginosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Slackia_exigua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Tannerella_forsythia,3.7527626911373964,NA,-0.0796561073156779,-0.0460716119536542,5.442368096524802,NA,0.03241255169647333,0.469319264082831,0.6895459154138628,NA,-2.4575697730192885,-0.09816688868224882,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB4733_SGB6557,-1.429365213841484,0.08837166533469726,-0.012965753705893176,NA,1.8863774941790683,0.06451838505796438,0.01749769766377284,NA,-0.7577302094899774,1.3697129160208008,-0.7409976989565558,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Eubacterium_brachy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Prevotella_jejuni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
GGB3883_SGB5265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Treponema_denticola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Parvimonas_sp_oral_taxon_110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Candidatus_Nanosynbacter_sp_HMT_352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Oribacterium_asaccharolyticum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Oribacterium_parvum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB2964_SGB3946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB3887_SGB5270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Campylobacter_concisus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
Lachnoanaerobaculum_orale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Neisseria_sicca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
