taxon,lfc_(Intercept),lfc_ppFEV1,lfc_Age,lfc_Sexmale,se_(Intercept),se_ppFEV1,se_Age,se_Sexmale,W_(Intercept),W_ppFEV1,W_Age,W_Sexmale,p_(Intercept),p_ppFEV1,p_Age,p_Sexmale,q_(Intercept),q_ppFEV1,q_Age,q_Sexmale,diff_(Intercept),diff_ppFEV1,diff_Age,diff_Sexmale,passed_ss_(Intercept),passed_ss_ppFEV1,passed_ss_Age,passed_ss_Sexmale
Lancefieldella_rimae,-26.687721207385337,0.14846821826561182,0.26375073003731886,7.390253273927229,3.444905298597879,0.02956530187236795,0.03405548159936914,0.1599975801537396,-7.747011570462498,5.0217047979602,7.74473646093452,46.189781538108456,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Haemophilus_parainfluenzae,5.749917018725248,-0.05470722038623331,-0.0015964758248385817,-1.6886643356274358,3.417341776728365,0.029150479412911035,0.033967763906277475,0.23813006187673727,1.6825700776789154,-1.876717690001453,-0.046999732724341686,-7.09135302917586,0.23448668024376326,0.2013655834160855,0.9667845082612292,0.019311575988161026,1,1,1,0.09943501031667475,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Streptococcus_cristatus,-4.465871901774045,0.05788158388365155,-0.0024375959372858924,-0.8629761061180939,3.3129914454776745,0.028464805909430464,0.03281355447868576,0.2546453276281972,-1.3479877552566832,2.0334438277155167,-0.0742862507891136,-3.3889335969993093,0.23551085578908962,0.09768143991385918,0.9436630492502641,0.019483887156645726,1,1,1,0.09943501031667475,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Candidatus_Nanoperiomorbus_periodonticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Pseudomonas_aeruginosa,9.476281059338545,-0.11609755467320322,0.0115073069919338,-4.885294656892693,3.3627795309009003,0.028913678420160363,0.033631405007594414,0.20730389549204584,2.8179905855439222,-4.015315968661151,0.3421595675035075,-23.565860377573753,0.06684931935696066,0.027729565316136615,0.7547988220198261,1.6742207443717135e-4,1,1,1,0.00412974450278356,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Slackia_exigua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Tannerella_forsythia,9.0738267432391,-0.03838422310271631,-0.10646843533150657,-0.7163097320792264,3.409983386903435,0.029265979437080068,0.033719178221942654,0.1588692506846761,2.6609592228773096,-1.3115646166990538,-3.1575038582115433,-4.508800343629485,0.22884930675880955,0.4147071270283262,0.19525889022624135,0.1389458192011643,1,1,1,0.4182633744724319,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB4733_SGB6557,-10.268397609965927,0.08463236953860193,0.10546605942874684,NA,3.479564398098302,0.02986200035044853,0.03439048065268266,NA,-2.9510583610919654,2.8341158845820833,3.06672246002819,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Eubacterium_brachy,-1.809047557401545,0.04398999581641799,-0.03853007128143368,-0.38962814123924766,3.4116095179666885,0.029275992238323324,0.0337479696011523,0.16108851621844594,-0.5302621967357312,1.5025962385258973,-1.141700426330777,-2.41872077777964,0.6896075918613296,0.37382613337933757,0.457940892810205,0.24958045728913886,1,1,1,0.6260662318439415,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_jejuni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB3883_SGB5265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Treponema_denticola,15.872851986416947,-0.13043133810146093,-0.16103561853939807,1.3751566461910971,3.444905298597879,0.02956530187236795,0.03405548159936914,0.1599975801537396,4.60763086662423,-4.4116355944724335,-4.728625495120913,8.594859027678586,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Parvimonas_sp_oral_taxon_110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Candidatus_Nanosynbacter_sp_HMT_352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Oribacterium_asaccharolyticum,-0.045389332747026105,-0.02010385217969754,-0.02119078429720094,3.3275085456199327,3.407014120366828,0.0291964942096504,0.03385218717554137,0.21730101787227246,-0.013322320114757584,-0.6885707590554676,-0.6259797686724227,15.312899029197423,0.9905801150666611,0.5622387201040651,0.5952440271265743,0.0042375787502825935,1,1,1,0.032334239302209924,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Oribacterium_parvum,-2.6695862371926067,0.031184584876855753,0.037201668395366774,-0.6769842989875086,3.343056115047895,0.028694191076989388,0.03309400214836332,0.1702539088610385,-0.798546642748879,1.0867908697333335,1.1241211694067228,-3.976321621725961,0.4829251228823427,0.35664795309713065,0.34279227374949367,0.0284467642938035,1,1,1,0.13156628485884117,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB2964_SGB3946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB3887_SGB5270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Campylobacter_concisus,2.2992441590639343,-0.021086929550755022,-0.032118715363205055,0.9277071926606492,3.274256571052214,0.02805505586741553,0.032496493758506724,0.28489296595691826,0.7022186896993995,-0.7516267174946666,-0.9883747951976273,3.256335899851377,0.5088541488014378,0.4807084417952301,0.3611360228256679,0.017328165745798697,1,1,1,0.09863725116839259,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Lachnoanaerobaculum_orale,3.587201128855392,-0.027700533170225475,9.704135788291292e-4,-1.0198536732674424,3.377686232653559,0.0289859088652695,0.033420693095940285,0.1674880259948992,1.0620291174995362,-0.9556551529566097,0.029036309212480346,-6.089113936410604,0.3995047340086759,0.44010017357893594,0.9794725551087535,0.025926387544675727,1,1,1,0.12377759214877444,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Neisseria_sicca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Capnocytophaga_sputigena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Eubacterium_infirmum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_baroniae,42.70013197287284,-0.7706278202392254,0.8447566391772198,-6.339111827376216,3.444905298597879,0.02956530187236795,0.03405548159936914,0.1599975801537396,12.395154081667307,-26.065278263215113,24.80530591565231,-39.6200481362596,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Corynebacterium_matruchotii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
GGB1843_SGB2524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB4533_SGB6246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Campylobacter_rectus,-53.880739066966605,0.5210117184239887,0.4925611613335055,NA,3.479564398098302,0.02986200035044853,0.03439048065268266,NA,-15.484909288189701,17.447314724720478,14.322601835897366,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_oulorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB4333_SGB5935,25.651291737413732,-0.40131277599497267,0.25557313215198535,NA,3.479564398098302,0.02986200035044853,0.03439048065268266,NA,7.371983617096731,-13.438911368472505,7.4315080016786315,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Prevotella_vespertina,7.542908419565803,-0.06718084251593529,-0.03367571747970871,-0.6667004487947698,3.4129442246145754,0.029274294263166384,0.033832830043402984,0.1756625312308289,2.2100883938171085,-2.294874879373739,-0.995356209826588,-3.7953480695248194,0.2705039241069309,0.26161486868358197,0.5014816017767181,0.1640093923992759,1,1,1,0.4597986628534008,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Alloprevotella_SGB1483,11.366582668042772,-0.07001133388619836,-0.12657021504568403,-2.320650531109702,3.42354031360856,0.029389244640262043,0.03385383115404001,0.2123182527672775,3.320125258306627,-2.382209367514187,-3.738726481790807,-10.930056652516692,0.18624397258252848,0.25301790271522684,0.16638245395914505,0.058083171020721885,1,1,1,0.23690212902253427,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Alloprevotella_SGB1484,9.594136654095264,-0.05811473757510493,-0.09707703804143304,-2.1781878453620522,3.414477815757438,0.02930712951195378,0.033763089421105,0.1789519538370997,2.8098400902824388,-1.9829556337614407,-2.8752415642613283,-12.171914296866861,0.21766938288406767,0.29735227997071223,0.21308349309509816,0.052185153973835774,1,1,1,0.23404250873114224,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Catonella_SGB4505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Catonella_SGB69305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB4538_SGB6256,-3.1207631449227953,0.053736743305232294,-0.031152212318871383,-0.3064291564944482,3.4098426193633684,0.029265090306750844,0.03371673572508216,0.15866668755341354,-0.9152220478449691,1.8362063038922642,-0.9239391551091642,-1.9312759421620365,0.5281618056854,0.31747511603911577,0.5251549715638628,0.30416419458020433,1,1,1,0.6925584738133883,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
GGB3059_SGB69431,11.440217496090723,-0.08302879797967803,-0.11700297189948645,-1.1274984452616406,3.41306185753487,0.029294297970418316,0.033748911275273,0.17306634692071887,3.351892808750198,-2.8342989500387197,-3.4668665588987952,-6.514833561363284,0.1845765393165284,0.21593231436439855,0.17877707333626144,0.09696172329199781,1,1,1,0.3261439783458108,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
