FeatureID,SampleID,RelAbundance,Time,sign|Time
Lactobacillus_gasseri,A8H12,0,T12,TRUE
Blautia_obeum,A8H12,0.0023753124671408313,T12,TRUE
Clostridium_sp_1001270J_160509_D11,A8H12,7.302380712027836e-4,T12,TRUE
Adlercreutzia_equolifaciens,A8H12,5.411916669827737e-5,T12,TRUE
Dysosmobacter_welbionis,A8H12,0,T12,TRUE
Hungatella_hathewayi,A9H0,0,T0,TRUE
Flavonifractor_plautii,A9H0,2.4070689733999109e-4,T0,TRUE
Anaerostipes_hadrus,A9H0,0.021998485078767255,T0,TRUE
Actinomyces_SGB17132,A9H0,0,T0,TRUE
Blautia_wexlerae,A9H0,0.0061485290065403575,T0,TRUE
Bifidobacterium_pseudocatenulatum,A9H0,0,T0,TRUE
Ruminococcus_sp_AF41_9,A9H0,0,T0,TRUE
Lactobacillus_gasseri,A9H0,6.054742284219488e-6,T0,TRUE
Blautia_obeum,A9H0,0,T0,TRUE
Clostridium_sp_1001270J_160509_D11,A9H0,0,T0,TRUE
Adlercreutzia_equolifaciens,A9H0,0,T0,TRUE
Dysosmobacter_welbionis,A9H0,0,T0,TRUE
Hungatella_hathewayi,A9H12,0,T12,TRUE
Flavonifractor_plautii,A9H12,2.946999612632028e-4,T12,TRUE
Anaerostipes_hadrus,A9H12,0.062386861267247934,T12,TRUE
Actinomyces_SGB17132,A9H12,0,T12,TRUE
Blautia_wexlerae,A9H12,0.047202417749857103,T12,TRUE
Bifidobacterium_pseudocatenulatum,A9H12,0,T12,TRUE
Ruminococcus_sp_AF41_9,A9H12,0,T12,TRUE
Lactobacillus_gasseri,A9H12,0.01668438788296848,T12,TRUE
Blautia_obeum,A9H12,2.693759341736652e-4,T12,TRUE
Clostridium_sp_1001270J_160509_D11,A9H12,0,T12,TRUE
Adlercreutzia_equolifaciens,A9H12,0,T12,TRUE
Dysosmobacter_welbionis,A9H12,0,T12,TRUE
Hungatella_hathewayi,A10H0,0.023591871743280195,T0,TRUE
Flavonifractor_plautii,A10H0,0.022774715353263565,T0,TRUE
Anaerostipes_hadrus,A10H0,0.00451810964405764,T0,TRUE
Actinomyces_SGB17132,A10H0,3.1971910357609165e-4,T0,TRUE
Blautia_wexlerae,A10H0,0,T0,TRUE
Bifidobacterium_pseudocatenulatum,A10H0,0,T0,TRUE
Ruminococcus_sp_AF41_9,A10H0,0,T0,TRUE
Lactobacillus_gasseri,A10H0,0,T0,TRUE
Blautia_obeum,A10H0,0,T0,TRUE
Clostridium_sp_1001270J_160509_D11,A10H0,0,T0,TRUE
Adlercreutzia_equolifaciens,A10H0,0,T0,TRUE
Dysosmobacter_welbionis,A10H0,0,T0,TRUE
Hungatella_hathewayi,A10H12,0,T12,TRUE
Flavonifractor_plautii,A10H12,0,T12,TRUE
Anaerostipes_hadrus,A10H12,0.12450754690796231,T12,TRUE
Actinomyces_SGB17132,A10H12,0,T12,TRUE
Blautia_wexlerae,A10H12,0.05870248916376324,T12,TRUE
Bifidobacterium_pseudocatenulatum,A10H12,0.04840355444944746,T12,TRUE
Ruminococcus_sp_AF41_9,A10H12,0.022147468438623506,T12,TRUE
Lactobacillus_gasseri,A10H12,0.007732833282757219,T12,TRUE
Blautia_obeum,A10H12,0,T12,TRUE
Clostridium_sp_1001270J_160509_D11,A10H12,0,T12,TRUE
Adlercreutzia_equolifaciens,A10H12,0,T12,TRUE
Dysosmobacter_welbionis,A10H12,0,T12,TRUE
Hungatella_hathewayi,A12H0,0,T0,TRUE
Flavonifractor_plautii,A12H0,0,T0,TRUE
Anaerostipes_hadrus,A12H0,0,T0,TRUE
Actinomyces_SGB17132,A12H0,0,T0,TRUE
Blautia_wexlerae,A12H0,0.237585861864023,T0,TRUE
Bifidobacterium_pseudocatenulatum,A12H0,0,T0,TRUE
Ruminococcus_sp_AF41_9,A12H0,0,T0,TRUE
Lactobacillus_gasseri,A12H0,0,T0,TRUE
Blautia_obeum,A12H0,0,T0,TRUE
Clostridium_sp_1001270J_160509_D11,A12H0,0,T0,TRUE
Adlercreutzia_equolifaciens,A12H0,0,T0,TRUE
Dysosmobacter_welbionis,A12H0,0,T0,TRUE
Hungatella_hathewayi,A12H12,0,T12,TRUE
Flavonifractor_plautii,A12H12,0,T12,TRUE
Anaerostipes_hadrus,A12H12,0.1453077721810484,T12,TRUE
Actinomyces_SGB17132,A12H12,0,T12,TRUE
Blautia_wexlerae,A12H12,0.005658240970297476,T12,TRUE
Bifidobacterium_pseudocatenulatum,A12H12,0,T12,TRUE
Ruminococcus_sp_AF41_9,A12H12,0,T12,TRUE
Lactobacillus_gasseri,A12H12,0,T12,TRUE
Blautia_obeum,A12H12,0.0029237964044827296,T12,TRUE
Clostridium_sp_1001270J_160509_D11,A12H12,0,T12,TRUE
Adlercreutzia_equolifaciens,A12H12,0,T12,TRUE
Dysosmobacter_welbionis,A12H12,0,T12,TRUE
Hungatella_hathewayi,A13H0,0,T0,TRUE
Flavonifractor_plautii,A13H0,0.0013415010359316404,T0,TRUE
Anaerostipes_hadrus,A13H0,0.08669094671802657,T0,TRUE
Actinomyces_SGB17132,A13H0,0,T0,TRUE
Blautia_wexlerae,A13H0,0,T0,TRUE
Bifidobacterium_pseudocatenulatum,A13H0,0,T0,TRUE
Ruminococcus_sp_AF41_9,A13H0,0,T0,TRUE
Lactobacillus_gasseri,A13H0,0,T0,TRUE
Blautia_obeum,A13H0,0,T0,TRUE
Clostridium_sp_1001270J_160509_D11,A13H0,0,T0,TRUE
Adlercreutzia_equolifaciens,A13H0,0,T0,TRUE
Dysosmobacter_welbionis,A13H0,0,T0,TRUE
Hungatella_hathewayi,A13H12,0,T12,TRUE
Flavonifractor_plautii,A13H12,0,T12,TRUE
Anaerostipes_hadrus,A13H12,0.13263607449622644,T12,TRUE
Actinomyces_SGB17132,A13H12,0,T12,TRUE
Blautia_wexlerae,A13H12,0.14565877212504683,T12,TRUE
Bifidobacterium_pseudocatenulatum,A13H12,0,T12,TRUE
Ruminococcus_sp_AF41_9,A13H12,0,T12,TRUE
Lactobacillus_gasseri,A13H12,0,T12,TRUE
