FeatureID,SampleID,RelAbundance,Time,sign|Time
TM7_phylum_sp_oral_taxon_351,P2E0,0,T0,TRUE
Neisseria_subflava,P2E12,0,T12,TRUE
Fusobacterium_periodonticum,P2E12,0,T12,TRUE
Prevotella_pallens,P2E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,P2E12,0,T12,TRUE
Neisseria_subflava,P3E0,0.0018218032892315457,T0,TRUE
Fusobacterium_periodonticum,P3E0,0,T0,TRUE
Prevotella_pallens,P3E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,P3E0,0,T0,TRUE
Neisseria_subflava,P3E12,0,T12,TRUE
Fusobacterium_periodonticum,P3E12,0,T12,TRUE
Prevotella_pallens,P3E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,P3E12,0,T12,TRUE
Neisseria_subflava,P4E0,0,T0,TRUE
Fusobacterium_periodonticum,P4E0,0,T0,TRUE
Prevotella_pallens,P4E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,P4E0,0,T0,TRUE
Neisseria_subflava,P4E12,0,T12,TRUE
Fusobacterium_periodonticum,P4E12,0.0063270519418014886,T12,TRUE
Prevotella_pallens,P4E12,0.00674970257362616,T12,TRUE
TM7_phylum_sp_oral_taxon_351,P4E12,0.0021764906589607637,T12,TRUE
Neisseria_subflava,P5E0,0,T0,TRUE
Fusobacterium_periodonticum,P5E0,0,T0,TRUE
Prevotella_pallens,P5E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,P5E0,0,T0,TRUE
Neisseria_subflava,P5E12,0,T12,TRUE
Fusobacterium_periodonticum,P5E12,0,T12,TRUE
Prevotella_pallens,P5E12,0.16534630780302975,T12,TRUE
TM7_phylum_sp_oral_taxon_351,P5E12,0.00412526655926695,T12,TRUE
Neisseria_subflava,P11E0,0,T0,TRUE
Fusobacterium_periodonticum,P11E0,0,T0,TRUE
Prevotella_pallens,P11E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,P11E0,0,T0,TRUE
Neisseria_subflava,P11E12,0,T12,TRUE
Fusobacterium_periodonticum,P11E12,0,T12,TRUE
Prevotella_pallens,P11E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,P11E12,0,T12,TRUE
Neisseria_subflava,P14E0,0,T0,TRUE
Fusobacterium_periodonticum,P14E0,0,T0,TRUE
Prevotella_pallens,P14E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,P14E0,0,T0,TRUE
Neisseria_subflava,P14E12,0,T12,TRUE
Fusobacterium_periodonticum,P14E12,0,T12,TRUE
Prevotella_pallens,P14E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,P14E12,0,T12,TRUE
Neisseria_subflava,P17E0,0,T0,TRUE
Fusobacterium_periodonticum,P17E0,0,T0,TRUE
Prevotella_pallens,P17E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,P17E0,0,T0,TRUE
Neisseria_subflava,P17E12,0.006581823850102656,T12,TRUE
Fusobacterium_periodonticum,P17E12,0.004539355455858796,T12,TRUE
Prevotella_pallens,P17E12,0.004116481799168264,T12,TRUE
TM7_phylum_sp_oral_taxon_351,P17E12,4.098009495616593e-4,T12,TRUE
Neisseria_subflava,P20E0,0,T0,TRUE
Fusobacterium_periodonticum,P20E0,0,T0,TRUE
Prevotella_pallens,P20E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,P20E0,0,T0,TRUE
Neisseria_subflava,P20E12,0.0389757,T12,TRUE
Fusobacterium_periodonticum,P20E12,0.010157,T12,TRUE
Prevotella_pallens,P20E12,0.0023676,T12,TRUE
TM7_phylum_sp_oral_taxon_351,P20E12,0,T12,TRUE
Neisseria_subflava,P25E0,0,T0,TRUE
Fusobacterium_periodonticum,P25E0,0,T0,TRUE
Prevotella_pallens,P25E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,P25E0,0,T0,TRUE
Neisseria_subflava,P25E12,0,T12,TRUE
Fusobacterium_periodonticum,P25E12,0,T12,TRUE
Prevotella_pallens,P25E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,P25E12,0,T12,TRUE
Neisseria_subflava,P26E0,0,T0,TRUE
Fusobacterium_periodonticum,P26E0,0,T0,TRUE
Prevotella_pallens,P26E0,0,T0,TRUE
TM7_phylum_sp_oral_taxon_351,P26E0,0,T0,TRUE
Neisseria_subflava,P26E12,0,T12,TRUE
Fusobacterium_periodonticum,P26E12,0,T12,TRUE
Prevotella_pallens,P26E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,P26E12,0,T12,TRUE
Neisseria_subflava,P27E0,0.006899491970251016,T0,TRUE
Fusobacterium_periodonticum,P27E0,0,T0,TRUE
Prevotella_pallens,P27E0,0.0011050918107305195,T0,TRUE
TM7_phylum_sp_oral_taxon_351,P27E0,0,T0,TRUE
Neisseria_subflava,P27E12,0.005541538731245854,T12,TRUE
Fusobacterium_periodonticum,P27E12,0.016681718305799297,T12,TRUE
Prevotella_pallens,P27E12,0.01874297812588761,T12,TRUE
TM7_phylum_sp_oral_taxon_351,P27E12,0.0012744727852598168,T12,TRUE
Neisseria_subflava,P42E0,0,T0,TRUE
Fusobacterium_periodonticum,P42E0,0,T0,TRUE
Prevotella_pallens,P42E0,0.03233468531088569,T0,TRUE
TM7_phylum_sp_oral_taxon_351,P42E0,0,T0,TRUE
Neisseria_subflava,P42E12,0,T12,TRUE
Fusobacterium_periodonticum,P42E12,0,T12,TRUE
Prevotella_pallens,P42E12,0,T12,TRUE
TM7_phylum_sp_oral_taxon_351,P42E12,0,T12,TRUE
